activity_id,molregno,molecule_chembl_id,assay_id,assay_chembl_id,tid,target_chembl_id,target_name,target_type,standard_type,standard_value,standard_units,pchembl_value,assay_type,confidence_score,canonical_smiles,standard_inchi_key,pActivity,MolecularWeight,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumHDonors,NumHAcceptors,LogP,TPSA,NumAromaticRings,NumAliphaticRings,NumRings,AromaticProportion,NumRotatableBonds,NumSaturatedRings,FractionCSP3,MolMR,Lipinski_Violation
26145840,2386047,CHEMBL4514636,2495056,CHEMBL5623895,10266,CHEMBL3650,Fibroblast growth factor receptor 1,SINGLE PROTEIN,IC50,1027.0,nM,5.99,B,9,C=CC(=O)N[C@H]1CCOC[C@H]1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,MGZKYOAQVGSSGC-DLBZAZTESA-N,5.988429556402722,503.3860000000003,34,34,10,2,7,4.492400000000003,94.60000000000001,3,1,4,0.47058823529411764,7,1,0.2916666666666667,133.07239999999996,1
16374249,2048778,CHEMBL3730886,1537597,CHEMBL3734165,10901,CHEMBL2598,Protein kinase C iota type,SINGLE PROTEIN,IC50,10000.0,nM,5.0,B,9,NCCNc1nc(-c2ccncc2)nc2sc3c(c12)CCN(C(=O)C1CCC1)C3,GGMSBZICWYEOFR-UHFFFAOYSA-N,5.0,408.53100000000035,29,29,8,2,7,2.8087000000000018,97.03,3,2,5,0.5172413793103449,5,1,0.42857142857142855,114.65210000000006,0
13450392,1580727,CHEMBL2425611,982388,CHEMBL2427049,12252,CHEMBL4822,Beta-secretase 1,SINGLE PROTEIN,IC50,62.0,nM,7.21,B,9,CC(C)(C)c1cccc(CN[C@H]2C[S@+]([O-])C[C@@H](Cc3cc(F)c(N)c(OCC(F)(F)F)c3)[C@@H]2O)c1,JJZNHUUZTYYRMQ-KYJTYKTMSA-N,7.2076083105017466,516.6010000000002,35,35,10,3,5,4.086800000000003,90.57000000000001,2,1,3,0.34285714285714286,7,1,0.52,129.20930000000004,1
28224686,3280150,CHEMBL6063149,2593615,CHEMBL5736314,12252,CHEMBL4822,Beta-secretase 1,SINGLE PROTEIN,IC50,49.0,nM,7.31,B,9,N#Cc1ccc(C#Cc2ccc(F)c([C@@]3(CF)N=C(N)S[C@@]4(CCC(=O)N5CCOCC5)C[C@H]43)c2)nc1,GQUCJZKBSKTSBA-DURWQBQJSA-N,7.309803919971486,521.5930000000004,37,37,10,1,7,3.1161800000000017,104.60000000000001,2,3,5,0.32432432432432434,5,2,0.4074074074074074,135.6693999999999,1
27182657,2739655,CHEMBL5095224,2589533,CHEMBL5732232,11904,CHEMBL2998,P2X purinoceptor 3,SINGLE PROTEIN,IC50,8.0,nM,8.1,B,9,Cc1cnc(-c2cc(O[C@@H]3CCOC3)cc(C(=O)N[C@H](C)c3cnc(C(F)(F)F)nc3)c2)s1,GTQPEQGDLVSFJO-CXAGYDPISA-N,8.096910013008056,478.49600000000004,33,33,11,1,7,4.586020000000004,86.23,3,1,4,0.5151515151515151,6,1,0.36363636363636365,115.05420000000004,0
5572294,1006903,CHEMBL1583019,737136,CHEMBL1737901,103707,CHEMBL1293274,Eukaryotic translation initiation factor 4H,SINGLE PROTEIN,IC50,5800.0,nM,5.24,F,9,O=C(COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,OUKYUDXZLWMXQT-UHFFFAOYSA-N,5.236572006437063,434.4080000000001,32,32,10,3,7,3.081800000000001,143.16,3,0,3,0.5625,8,0,0.045454545454545456,116.83010000000002,0
29239604,3296015,CHEMBL6144511,2650529,CHEMBL6130566,11821,CHEMBL2899,Adenylate cyclase type 1,SINGLE PROTEIN,IC50,310.0,nM,6.51,B,9,CCc1cc(=O)[nH]c(-n2nc(C)cc2NCc2c(C)cccc2C)n1,MXHFEQGXTDYFAA-UHFFFAOYSA-N,6.508638306165727,337.427,25,25,6,2,5,3.055360000000001,75.6,3,0,3,0.68,5,0,0.3157894736842105,99.33740000000003,0
26223989,2089491,CHEMBL3813873,2516400,CHEMBL5653220,12840,CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,SINGLE PROTEIN,IC50,15.0,nM,7.82,B,9,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,7.823908740944319,417.82200000000006,29,29,9,2,4,5.228000000000002,66.49000000000001,4,0,4,0.7241379310344828,5,0,0.15,104.7124,1
28173230,3074877,CHEMBL5857876,2593290,CHEMBL5735989,100097,CHEMBL5251,Tyrosine-protein kinase BTK,SINGLE PROTEIN,IC50,63.1,nM,7.2,B,9,COCCC(=O)N1CCC[C@@H](NC(=O)c2sc3nccc4c3c2NC(=O)N4c2ccc(Oc3ccccc3)cc2)C1,GHSNUDZDCVPPHT-LJQANCHMSA-N,7.199970640755866,571.6590000000002,41,41,11,2,7,5.529500000000005,113.1,4,2,6,0.5121951219512195,8,1,0.26666666666666666,157.29689999999968,2
4129862,734321,CHEMBL1310437,688237,CHEMBL1614457,10950,CHEMBL3892,Sphingosine 1-phosphate receptor 3,SINGLE PROTEIN,IC50,7686.0,nM,5.11,F,9,O=C(OC(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1)C1CCCCC1,LWISDNRBIDROHJ-UHFFFAOYSA-N,5.11429961987167,405.4160000000002,29,29,7,1,3,5.508700000000004,55.400000000000006,2,1,3,0.41379310344827586,5,1,0.36363636363636365,101.92370000000004,1
17646174,2028213,CHEMBL3694964,1528801,CHEMBL3705476,10608,CHEMBL4829,Acetyl-CoA carboxylase 2,SINGLE PROTEIN,IC50,260.0,nM,6.58,B,9,CC(=O)NC(C)Cc1ccc(C#Cc2cnc(N3CCCCC3)nc2)cc1,JWGPKDMRSVWROM-UHFFFAOYSA-N,6.585026652029182,362.47700000000015,27,27,5,1,4,2.9338000000000015,58.120000000000005,2,1,3,0.4444444444444444,4,1,0.4090909090909091,107.50070000000004,0
26789315,3052601,CHEMBL5835600,2588243,CHEMBL5730942,11926,CHEMBL2742,Fibroblast growth factor receptor 3,SINGLE PROTEIN,IC50,20.0,nM,7.7,B,9,COc1cc(N2C(=O)N(c3c(F)c(OC)cc(OC)c3F)Cc3cnc(-c4cn(C)nc4C)cc32)ccc1C#N,AYIHTAQUCBAXSB-UHFFFAOYSA-N,7.698970004336019,546.5340000000002,40,40,12,0,8,5.244500000000005,105.74000000000001,4,1,5,0.575,6,0,0.21428571428571427,142.06499999999983,2
13344919,1565580,CHEMBL2392003,964286,CHEMBL2395400,12949,CHEMBL3522,"Steroid 17-alpha-hydroxylase/17,20 lyase",SINGLE PROTEIN,IC50,122000.0,nM,,B,9,C[C@]12CC[C@H](OC(=O)n3ccnc3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,MTIJOAMUOKRUQB-CNRUGTJDSA-N,3.9136401693252516,482.62800000000027,36,36,6,0,6,6.699900000000007,61.940000000000005,3,4,7,0.3888888888888889,2,2,0.5,138.9859999999999,1
28699721,3193913,CHEMBL5976912,2595400,CHEMBL5738099,108016,CHEMBL3108656,GTP-binding protein Rheb,SINGLE PROTEIN,IC50,55000.0,nM,4.26,B,9,OCc1cc2c(Oc3cccc(Cl)c3)cc(Cl)cc2[nH]1,VPOHNGWJMNFIEZ-UHFFFAOYSA-N,4.259637310505756,308.16400000000004,20,20,5,2,2,4.759300000000001,45.25,3,0,3,0.75,3,0,0.06666666666666667,80.75750000000002,0
18534346,2283567,CHEMBL4205416,1760893,CHEMBL4195901,11941,CHEMBL3268,Phosphatidylinositol 4-kinase beta,SINGLE PROTEIN,IC50,2.0,nM,8.7,B,9,COc1ccc(NC(=O)N2CCN(c3nc(N)nc4sc(-c5cccnc5)nc34)CC2)cc1,RTWZCNGWNJMPBW-UHFFFAOYSA-N,8.698970004336019,462.53900000000016,33,33,11,2,9,3.0932000000000013,122.39,4,1,5,0.6363636363636364,4,1,0.22727272727272727,128.6521,0
28294877,2980062,CHEMBL5763061,2593909,CHEMBL5736608,11177,CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",SINGLE PROTEIN,IC50,0.8,nM,9.1,B,9,CNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N(C)C(=O)[C@H](C)OC)n3)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,DHEKPZQWFVQYSO-IRXDYDNUSA-N,9.096910013008056,598.7510000000001,41,41,13,2,9,3.917220000000003,133.83,3,2,5,0.4146341463414634,10,1,0.42857142857142855,157.99269999999967,1
1821473,370416,CHEMBL220776,428317,CHEMBL917095,12723,CHEMBL5378,P-selectin,SINGLE PROTEIN,IC50,7600.0,nM,5.12,B,9,O=C(O)Cc1ccc(-c2ccccc2NC(=O)Cc2ccc(O)c(O)c2O)s1,WFPXZTZOOKFHLC-UHFFFAOYSA-N,5.119186407719209,399.4240000000001,28,28,8,5,6,3.3402000000000025,127.09000000000002,3,0,3,0.6071428571428571,6,0,0.1,104.86490000000002,0
5128623,1057662,CHEMBL1643124,700194,CHEMBL1647187,104,CHEMBL2039,Amine oxidase [flavin-containing] B,SINGLE PROTEIN,IC50,68.0,nM,7.17,B,9,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1,ZPHGXJAOXHSRAX-UHFFFAOYSA-N,7.167491087293763,279.295,21,21,4,1,3,3.353720000000001,59.31,3,0,3,0.7619047619047619,2,0,0.058823529411764705,81.61620000000002,0
15246146,1587244,CHEMBL2440737,1478011,CHEMBL3429819,11149,CHEMBL2973,Rho-associated protein kinase 2,SINGLE PROTEIN,IC50,2.5,nM,8.6,B,9,NCc1ccc(C(=O)Nc2ccncc2F)cc1-c1cccc(C(=O)OCC2CCCO2)c1,QTMQGFVLXXWUDA-UHFFFAOYSA-N,8.602059991327963,449.4820000000003,33,33,8,2,6,3.9345000000000034,103.54000000000002,3,1,4,0.5454545454545454,7,1,0.24,121.17410000000002,0
18200226,2200068,CHEMBL4060157,1692346,CHEMBL4042995,100917,CHEMBL5319,Epithelial discoidin domain-containing receptor 1,SINGLE PROTEIN,IC50,614.0,nM,6.21,B,9,C[C@@H]1CN(c2cncnc2)Cc2cc(NC(=O)c3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,FXWGWJNBGHQODS-LJQANCHMSA-N,6.211831628858833,524.5910000000002,38,38,10,1,6,4.618800000000004,64.60000000000001,3,2,5,0.47368421052631576,5,1,0.39285714285714285,140.11019999999988,1
22897341,2535919,CHEMBL4799328,2075296,CHEMBL4730830,11925,CHEMBL3973,Fibroblast growth factor receptor 4,SINGLE PROTEIN,IC50,2926.0,nM,5.53,B,9,CCC(=O)N[C@H]1COC[C@H]1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c(=O)n(C)c2n1,SQNWZTSMOSQWFC-UONOGXRCSA-N,5.533725678210708,522.3890000000002,35,35,12,2,9,3.0250000000000004,116.60000000000001,3,1,4,0.45714285714285713,7,1,0.391304347826087,133.79039999999998,1
26866795,2107019,CHEMBL3897648,2588420,CHEMBL5731119,12694,CHEMBL3553,Non-receptor tyrosine-protein kinase TYK2,SINGLE PROTEIN,IC50,800.0,nM,6.1,B,9,CN(C)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,ORTLYRUNNISMKN-XYPYZODXSA-N,6.096910013008056,284.36700000000013,21,21,6,1,5,2.1933999999999996,62.11000000000001,3,1,4,0.5714285714285714,2,1,0.5333333333333333,81.32270000000004,0
